01/07/2021;step.out;tfs_gas_temp_caixa.out1;tfs_gas_temp_cl.out1;tfs_gas_temp_entrada.out1;tfs_gas_temp_saida.out1;tfs_feeder_temp_caixa.out1;tfs_feeder_temp_cl.out1;tfs_feeder_temp_entrada.out1;tfs_feeder_temp_saida.out1;tfs_ve21_temp_caixa.out1;tfs_ve21_temp_cl.out1;tfs_ve21_temp_entrada.out1;tfs_ve21_temp_saida.out1;
01:26:07;1;0.323692;0.00560448;0.0725234;0.103573;0;-0.0515334;-0.0623729;-0.018206;-0.0115824;0.000527899;0.00214474;0.00317464;
01:26:08;1;0.32544;0.00581209;0.0730834;0.104509;0;-0.0522173;-0.0628908;-0.018483;-0.0116264;0.000540247;0.00216437;0.00320964;
01:26:09;1;0.327008;0.00600134;0.0735843;0.105344;0;-0.0528332;-0.0633553;-0.0187333;-0.0116656;0.000551416;0.00218191;0.00324103;
01:26:10;1;0.328571;0.00619286;0.0740825;0.106174;0;-0.0534495;-0.0638181;-0.0189844;-0.0117044;0.000562634;0.00219934;0.00327232;
01:26:11;1;0.3303;0.00640826;0.0746326;0.107089;0;-0.0541347;-0.0643305;-0.0192645;-0.0117472;0.000575156;0.00221856;0.00330698;
01:26:12;1;0.331851;0.00660443;0.0751247;0.107906;0;-0.0547516;-0.0647899;-0.0195176;-0.0117853;0.000586476;0.00223573;0.00333806;
01:26:13;1;0.333396;0.00680274;0.0756139;0.108718;0;-0.0553688;-0.0652476;-0.0197714;-0.011823;0.000597841;0.00225279;0.00336903;
01:26:14;1;0.334936;0.00700318;0.0761003;0.109523;0;-0.0559862;-0.0657037;-0.0200261;-0.0118604;0.00060925;0.00226972;0.0033999;
01:26:15;1;0.33664;0.00722834;0.0766373;0.110412;0;-0.0566724;-0.0662085;-0.0203101;-0.0119016;0.000621976;0.0022884;0.00343406;
01:26:16;1;0.338169;0.00743315;0.0771176;0.111205;0;-0.0572901;-0.0666611;-0.0205666;-0.0119384;0.000633473;0.00230509;0.0034647;
01:26:17;1;0.339691;0.00763998;0.077595;0.111992;0;-0.0579079;-0.0671121;-0.0208239;-0.0119747;0.000645009;0.00232165;0.00349523;
01:26:18;1;0.341377;0.00787213;0.0781221;0.11286;0;-0.0585945;-0.0676112;-0.0211106;-0.0120148;0.000657871;0.00233992;0.00352901;
